Date,Open,High,Low,Close,Adj Close
"Aug 02, 2023",0089.5200,0090.1400,0088.7900,0089.3200,0089.3200
"Aug 01, 2023",0091.2000,0091.4300,0090.6300,0090.9400,0090.9400
"Jul 31, 2023",0091.9000,0092.2000,0091.0400,0091.5600,0091.5600
"Jul 28, 2023",0092.4600,0092.6000,0091.0900,0091.5700,0091.5700
"Jul 27, 2023",0093.6500,0094.7100,0092.5500,0092.7500,0091.9000
"Jul 26, 2023",0094.4000,0095.1500,0093.2900,0093.5400,0092.6800
"Jul 25, 2023",0094.7000,0095.5700,0094.4100,0094.4200,0093.5500
"Jul 24, 2023",0094.0100,0095.4000,0093.7000,0094.6700,0093.8000
"Jul 21, 2023",0094.2700,0094.4000,0093.0600,0094.0100,0093.1500
"Jul 20, 2023",0093.1100,0094.1400,0092.8600,0093.8000,0092.9400
"Jul 19, 2023",0091.4300,0093.8600,0091.3300,0093.1600,0092.3100
"Jul 18, 2023",0087.5400,0092.5600,0087.1000,0091.9400,0091.1000
"Jul 17, 2023",0085.6800,0086.9000,0085.6800,0086.3700,0085.5800
"Jul 14, 2023",0087.4100,0087.4200,0085.5600,0085.7800,0084.9900
"Jul 13, 2023",0086.2300,0086.6400,0085.7400,0086.2100,0085.4200
"Jul 12, 2023",0086.6800,0087.7100,0085.6000,0085.7700,0084.9800
"Jul 11, 2023",0083.9000,0085.4300,0083.6200,0084.9600,0084.1800
"Jul 10, 2023",0083.4200,0084.3900,0083.1800,0083.4000,0082.6400
"Jul 07, 2023",0083.0100,0084.0400,0082.9000,0083.3600,0082.6000
"Jul 06, 2023",0084.8500,0084.9200,0083.0200,0083.3300,0082.5700
"Jul 05, 2023",0085.9500,0086.2800,0085.3500,0085.9200,0085.1300
"Jul 03, 2023",0086.3400,0087.6600,0085.8400,0086.4100,0085.6200
"Jun 30, 2023",0086.0200,0086.4900,0085.4000,0085.4000,0084.6200
"Jun 29, 2023",0085.3400,0086.0600,0084.6300,0085.2400,0084.4600
"Jun 28, 2023",0084.5400,0084.5600,0083.6400,0083.9900,0083.2200
"Jun 27, 2023",0083.9100,0084.8700,0083.3800,0084.4300,0083.6600
"Jun 26, 2023",0083.5600,0084.2400,0083.2500,0083.5900,0082.8200
"Jun 23, 2023",0083.2600,0083.9200,0082.6000,0083.5800,0082.8100
"Jun 22, 2023",0085.5200,0085.6300,0084.3600,0084.5000,0083.7300
"Jun 21, 2023",0086.5600,0087.2800,0086.3000,0086.3400,0085.5500
"Jun 20, 2023",0087.1000,0087.2100,0086.2500,0086.7300,0085.9400
"Jun 16, 2023",0089.6200,0089.6500,0087.9400,0088.0900,0087.2800
"Jun 15, 2023",0087.6300,0089.3300,0087.4000,0089.0500,0088.2300
"Jun 14, 2023",0088.6000,0089.4900,0087.6400,0087.9800,0087.1700
"Jun 13, 2023",0087.8400,0088.9800,0087.5900,0088.2800,0087.4700
"Jun 12, 2023",0086.2000,0087.6400,0086.0100,0087.4400,0086.6400
"Jun 09, 2023",0086.7400,0086.9600,0085.6600,0086.2100,0085.4200
"Jun 08, 2023",0086.4000,0086.9100,0085.1800,0086.3100,0085.5200
"Jun 07, 2023",0086.0500,0087.0100,0085.7800,0086.5000,0085.7100
"Jun 06, 2023",0083.6000,0086.2300,0083.2700,0085.8600,0085.0700
"Jun 05, 2023",0084.4000,0084.7300,0083.2200,0083.7400,0082.9700
"Jun 02, 2023",0082.9400,0084.6800,0082.9400,0084.3500,0083.5800
"Jun 01, 2023",0082.5800,0082.8400,0081.4700,0082.0700,0081.3200
"May 31, 2023",0083.0600,0083.2800,0081.1300,0081.7600,0081.0100
"May 30, 2023",0084.1600,0084.5700,0083.1100,0083.4200,0082.6600
"May 26, 2023",0082.9700,0084.6400,0082.8300,0083.9000,0083.1300
"May 25, 2023",0081.2100,0083.1300,0080.9800,0083.0000,0082.2400
"May 24, 2023",0082.0100,0082.2300,0080.7400,0081.2200,0080.4800
"May 23, 2023",0082.0000,0083.5700,0081.8900,0082.6400,0081.8800
"May 22, 2023",0082.2500,0083.1600,0081.9100,0082.2700,0081.5200
"May 19, 2023",0083.7900,0084.4200,0082.2300,0082.2400,0081.4900
"May 18, 2023",0083.7000,0084.5500,0083.0200,0084.4900,0083.7200
"May 17, 2023",0082.5400,0083.9200,0082.5000,0083.9100,0083.1400
"May 16, 2023",0082.7200,0083.0700,0081.8100,0081.8600,0081.1100
"May 15, 2023",0082.6700,0083.3800,0082.2500,0082.9500,0082.1900
"May 12, 2023",0083.0000,0083.2700,0081.6700,0082.3900,0081.6300
"May 11, 2023",0082.7800,0082.8200,0081.6200,0082.6300,0081.8700
"May 10, 2023",0085.0700,0085.2200,0082.8000,0083.7200,0082.9500
"May 09, 2023",0084.0000,0084.9100,0083.7000,0084.3700,0083.6000
"May 08, 2023",0085.4800,0085.5700,0084.3200,0084.4300,0083.6600
"May 05, 2023",0083.7900,0085.0200,0083.6200,0084.8800,0084.1000
"May 04, 2023",0084.1700,0084.4500,0081.6100,0082.6100,0081.8500
"May 03, 2023",0086.4000,0087.1800,0084.5700,0084.7500,0083.9700
"May 02, 2023",0087.5700,0087.5700,0085.3300,0086.2900,0085.5000
"May 01, 2023",0090.1900,0090.5200,0087.8300,0087.9300,0087.1200
"Apr 28, 2023",0089.4500,0090.3300,0089.1600,0089.9700,0089.1500
"Apr 27, 2023",0089.4100,0090.9600,0088.8900,0090.2600,0088.6600
"Apr 26, 2023",0088.1500,0089.7900,0087.9100,0088.4400,0086.8800
"Apr 25, 2023",0089.6400,0089.8300,0087.8900,0088.0600,0086.5000
"Apr 24, 2023",0091.2300,0091.4800,0089.5500,0090.2000,0088.6100
"Apr 21, 2023",0090.4800,0091.3400,0089.1700,0091.1200,0089.5100
"Apr 20, 2023",0089.8500,0091.8200,0089.7200,0090.4300,0088.8300
"Apr 19, 2023",0087.1400,0090.7000,0086.5000,0090.4500,0088.8500
"Apr 18, 2023",0089.1300,0090.5400,0088.7400,0089.8500,0088.2600
"Apr 17, 2023",0086.6600,0089.3100,0086.2700,0089.2900,0087.7100
"Apr 14, 2023",0086.4300,0087.4000,0086.0000,0086.7100,0085.1800
"Apr 13, 2023",0085.3900,0085.7800,0084.4400,0085.6900,0084.1800
"Apr 12, 2023",0085.5100,0086.0200,0084.7900,0085.4700,0083.9600
"Apr 11, 2023",0084.2900,0085.7600,0084.1300,0085.0900,0083.5900
"Apr 10, 2023",0083.9500,0084.3600,0083.4300,0084.0000,0082.5200
"Apr 06, 2023",0083.9000,0084.4000,0083.2100,0084.1900,0082.7000
"Apr 05, 2023",0083.8300,0084.5300,0083.2000,0083.8200,0082.3400
"Apr 04, 2023",0087.0000,0087.2000,0084.2600,0084.8200,0083.3200
"Apr 03, 2023",0087.9500,0088.3200,0086.6700,0087.1600,0085.6200
"Mar 31, 2023",0086.8000,0087.8700,0086.1700,0087.8000,0086.2500
"Mar 30, 2023",0087.2600,0087.6100,0085.4600,0086.1100,0084.5900
"Mar 29, 2023",0085.9300,0086.3500,0085.3500,0086.2400,0084.7200
"Mar 28, 2023",0084.5600,0085.1700,0083.9300,0084.8800,0083.3800
"Mar 27, 2023",0086.0600,0086.3200,0084.3600,0084.6400,0083.1400
