Date,Open,High,Low,Close,Adj Close,Volume
"Aug 02, 2023",130.15,130.23,126.82,128.21,128.21,"5,10,27,600"
"Aug 01, 2023",133.55,133.69,131.62,131.69,131.69,"4,20,98,500"
"Jul 31, 2023",133.2,133.87,132.38,133.68,133.68,"4,19,01,500"
"Jul 28, 2023",129.69,133.01,129.33,132.21,132.21,"4,63,17,400"
"Jul 27, 2023",131,132.63,127.79,128.25,128.25,"5,26,10,700"
"Jul 26, 2023",126.51,129.08,126.11,128.15,128.15,"5,39,10,100"
"Jul 25, 2023",129.31,129.58,128.53,129.13,129.13,"3,92,36,700"
"Jul 24, 2023",130.31,131.66,128.35,128.8,128.8,"4,55,91,100"
"Jul 21, 2023",131.34,131.37,128.42,130,130,"13,32,65,000"
"Jul 20, 2023",134.07,134.79,129.33,129.96,129.96,"5,98,20,600"
"Jul 19, 2023",133.39,135.99,132.53,135.36,135.36,"5,45,31,000"
"Jul 18, 2023",132.71,133.86,131.35,132.83,132.83,"5,49,69,100"
"Jul 17, 2023",134.56,135.62,133.21,133.56,133.56,"4,84,50,200"
"Jul 14, 2023",134.06,136.65,134.06,134.68,134.68,"5,43,88,100"
"Jul 13, 2023",134.04,134.67,132.71,134.3,134.3,"6,11,70,900"
"Jul 12, 2023",130.31,131.26,128.83,130.8,130.8,"5,40,22,800"
"Jul 11, 2023",127.75,129.77,127.35,128.78,128.78,"4,99,51,500"
"Jul 10, 2023",129.07,129.28,125.92,127.13,127.13,"6,18,89,300"
"Jul 07, 2023",128.59,130.97,128.13,129.78,129.78,"4,19,28,700"
"Jul 06, 2023",128.25,128.73,127.37,128.36,128.36,"4,06,39,900"
"Jul 05, 2023",130.24,131.4,129.64,130.38,130.38,"3,58,95,400"
"Jul 03, 2023",130.82,131.85,130.07,130.22,130.22,"2,82,64,800"
"Jun 30, 2023",129.47,131.25,128.95,130.36,130.36,"5,43,10,500"
"Jun 29, 2023",128.77,129.26,127.26,127.9,127.9,"4,07,61,000"
"Jun 28, 2023",128.94,131.48,128.44,129.04,129.04,"5,21,49,500"
"Jun 27, 2023",128.63,130.09,127.55,129.18,129.18,"4,68,01,000"
"Jun 26, 2023",129.33,131.49,127.1,127.33,127.33,"5,99,89,300"
